SamplePic,SampleSound,SampleMovie,r,c,Correct,r_1,c_1,Foil1,r_2,c_2,Foil2,r_3,c_3,Foil3,r_4,c_4,Foil4,r_5,c_5,SampleMode,Feedback,Correct_1,RT,Comment,filename,trial,correct,shape_combination,session,cont_trial,condition,test_shape
none,Peaches.wav,none,0,0,Peaches_01.jpg,2,3,Bird_01.jpg,1,2,none,0,0,none,0,0,none,0,0,2,yes,YES,1498,SAMPLE MODE 2 - sound only,../Data/raw_data/Testing//MTS_2020_07_20_12_27_39.csv,2,1,Peaches_01.jpg_Bird_01.jpg,1,2,regular,"NA"
none,Shoe.wav,none,0,0,Shoe_01.jpg,2,3,Fridge_01.jpg,1,2,none,0,0,none,0,0,none,0,0,2,yes,YES (R),1871,SAMPLE MODE 2 - sound only,../Data/raw_data/Testing//MTS_2020_07_20_12_27_39.csv,3,1,Shoe_01.jpg_Fridge_01.jpg,1,3,regular,"NA"
none,keke.wav,none,0,0,ESlide46.jpg,3,1,RSlide19.jpg,2,3,none,0,0,none,0,0,none,0,0,2,no,NO,831,SAMPLE MODE 2 - sound only,../Data/raw_data/Testing//MTS_2020_07_20_12_27_39.csv,4,0,ESlide46.jpg_RSlide19.jpg,1,4,test,edgy
none,Cherries.wav,none,0,0,Cherries_02.jpg,1,3,Cooler_01.jpg,3,2,none,0,0,none,0,0,none,0,0,2,yes,YES (R),1625,SAMPLE MODE 2 - sound only,../Data/raw_data/Testing//MTS_2020_07_20_12_27_39.csv,5,1,Cherries_02.jpg_Cooler_01.jpg,1,5,regular,"NA"
none,Key.wav,none,0,0,Key_01.jpg,3,1,Peaches_02.jpg,1,3,none,0,0,none,0,0,none,0,0,2,yes,YES (R),988,SAMPLE MODE 2 - sound only,../Data/raw_data/Testing//MTS_2020_07_20_12_27_39.csv,6,1,Key_01.jpg_Peaches_02.jpg,1,6,regular,"NA"
none,Blanket.wav,none,0,0,Blanket_01.jpg,3,3,Trash_01.jpg,1,2,none,0,0,none,0,0,none,0,0,2,yes,NO,1341,SAMPLE MODE 2 - sound only,../Data/raw_data/Testing//MTS_2020_07_20_12_27_39.csv,7,0,Blanket_01.jpg_Trash_01.jpg,1,7,regular,"NA"
none,Teco.wav,none,0,0,Teco_02.jpg,2,2,Phone_02.jpg,1,3,none,0,0,none,0,0,none,0,0,2,yes,YES (R),1107,SAMPLE MODE 2 - sound only,../Data/raw_data/Testing//MTS_2020_07_20_12_27_39.csv,8,1,Teco_02.jpg_Phone_02.jpg,1,8,regular,"NA"
none,Mushroom.wav,none,0,0,Mushroom_01.jpg,2,1,Elikya_01.jpg,3,2,none,0,0,none,0,0,none,0,0,2,yes,YES (R),1418,SAMPLE MODE 2 - sound only,../Data/raw_data/Testing//MTS_2020_07_20_12_27_39.csv,9,1,Mushroom_01.jpg_Elikya_01.jpg,1,9,regular,"NA"
none,Balloon.wav,none,0,0,Balloon_02.jpg,1,2,Celery_01.jpg,3,1,none,0,0,none,0,0,none,0,0,2,yes,YES (R),1137,SAMPLE MODE 2 - sound only,../Data/raw_data/Testing//MTS_2020_07_20_12_27_39.csv,10,1,Balloon_02.jpg_Celery_01.jpg,1,10,regular,"NA"
none,Yogurt.wav,none,0,0,Yogurt_02.jpg,1,1,Lighter_02.jpg,3,3,none,0,0,none,0,0,none,0,0,2,yes,YES (R),1748,SAMPLE MODE 2 - sound only,../Data/raw_data/Testing//MTS_2020_07_20_12_27_39.csv,11,1,Yogurt_02.jpg_Lighter_02.jpg,1,11,regular,"NA"
none,pepe.wav,none,0,0,Eshape4.jpg,1,2,Rshape5.jpg,3,3,none,0,0,none,0,0,none,0,0,2,no,YES,1183,SAMPLE MODE 2 - sound only,../Data/raw_data/Testing//MTS_2020_07_20_12_27_39.csv,12,1,Eshape4.jpg_Rshape5.jpg,1,12,test,edgy
none,Car.wav,none,0,0,Car_02.jpg,3,2,Blackberries_01.jpg,1,3,none,0,0,none,0,0,none,0,0,2,yes,YES (R),1848,SAMPLE MODE 2 - sound only,../Data/raw_data/Testing//MTS_2020_07_20_12_27_39.csv,13,1,Car_02.jpg_Blackberries_01.jpg,1,13,regular,"NA"
none,Snake.wav,none,0,0,Snake_01.jpg,2,1,Rock_02.jpg,1,3,none,0,0,none,0,0,none,0,0,2,yes,YES (R),1292,SAMPLE MODE 2 - sound only,../Data/raw_data/Testing//MTS_2020_07_20_12_27_39.csv,14,1,Snake_01.jpg_Rock_02.jpg,1,14,regular,"NA"
none,Oil.wav,none,0,0,Oil_02.jpg,3,1,Carrot_02.jpg,1,2,none,0,0,none,0,0,none,0,0,2,yes,YES,1514,SAMPLE MODE 2 - sound only,../Data/raw_data/Testing//MTS_2020_07_20_12_27_39.csv,15,1,Oil_02.jpg_Carrot_02.jpg,1,15,regular,"NA"
